epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5394575371243099,2.2581931505918793,0.4485345708945647,1.4543553893276873
1,0.43813480768967367,1.3257865090272078,0.44539869839110113,1.0907160859910143
2,0.43251848980706276,1.0674402894489032,0.41856911239009154,0.9301335029782773
3,0.4272863487612581,0.8966495979192902,0.449295204362431,0.8195040872662552
4,0.42122860490434255,0.7431135944004451,0.38811270005344817,0.8314315012049538
5,0.4171659074550004,0.6773369803213217,0.41868666103269975,0.5222467918121797
6,0.4125841840739787,0.5274507528863255,0.43179720173446057,0.5177256349366812
7,0.41162834568627665,0.476886396455207,0.4231847731374512,0.3861021203801911
8,0.41153114768803817,0.45203138415829797,0.41001891215010455,0.2842193463113861
9,0.4093347919280609,0.32084686271073887,0.41035774022130883,0.23076569606564035
10,0.4091100494113359,0.27374370952583504,0.40732558536943264,0.20924363218278724
11,0.40897212916441916,0.23711101180028896,0.4123008083082843,0.2549484747161812
12,0.41076970348198505,0.31731456970678024,0.4110181053388632,0.19162726266394683
13,0.40868399439294667,0.20682964432090462,0.4130545275334932,0.1510907312245062
14,0.40865709996790883,0.17524808244678272,0.40818302508949117,0.12941955905338695
15,0.4086340496558343,0.1598496876072143,0.4109904524405468,0.11679790146118206
16,0.4086682418100581,0.14759215039019624,0.41044071696686224,0.10605733156429262
17,0.4085479940094742,0.13538226578398163,0.41439255095078675,0.12625770875179956
18,0.408753144239985,0.13444940988144216,0.4120760769212392,0.10902893273036118
19,0.4086594061901513,0.1211076063330061,0.4100016257082257,0.1011838493393344
20,0.40861791490306293,0.1114697687115675,0.4103335368449778,0.17022824855634247
21,0.4098534356465788,0.2634798880692642,0.41016412026904847,0.10030417694450333
22,0.40851572228276284,0.11708110611096847,0.41113565522350537,0.13348041579656367
23,0.4085706604801392,0.1194076782822032,0.41038885474170395,0.0903482186341393
24,0.4084999703293416,0.10120662799137357,0.4109143853200544,0.08967051187343936
