epoch,accuracy,loss,val_accuracy,val_loss
0,0.5349077,1.9829882922813074,0.6525638699531555,1.3131140914001747
1,0.6641142,1.2155655414262767,0.7135665416717529,0.9927597251548094
2,0.7332438,0.9204441595712272,0.7670182585716248,0.779426135464119
3,0.77161604,0.757831318439039,0.8083966970443726,0.620575855420166
4,0.81082505,0.6046900271263369,0.8406993746757507,0.5042462390743032
5,0.83739567,0.5126055394742411,0.8614577054977417,0.45070038486486047
6,0.86675733,0.42172680242737726,0.8910048007965088,0.35679964045333
7,0.879237,0.3847282858652759,0.9142732620239258,0.28538217594669785
8,0.909762,0.29562455975081275,0.9296795129776001,0.23463627766577894
9,0.92320365,0.2551692698152376,0.9388624429702759,0.20805949398325843
10,0.9317782,0.22733824520449622,0.9480453729629517,0.178454974697478
11,0.9399351,0.20122395522655043,0.9481871128082275,0.1696778089998162
12,0.94178146,0.19480714714854125,0.9409680366516113,0.20482610713519847
13,0.94723487,0.1790963148752159,0.9543516635894775,0.15500503772507132
14,0.95459956,0.15388157398482397,0.9571625590324402,0.1527373959345988
15,0.9563849,0.14742975557593388,0.9634377956390381,0.1224584073652709
16,0.9605605,0.1330457673372401,0.957660436630249,0.1394560731412417
17,0.9595962,0.13552661504510816,0.9632406830787659,0.12099310172579608
18,0.96399355,0.11967156964559716,0.9685651063919067,0.10372053967811941
19,0.9658979,0.11428915091655388,0.9349382519721985,0.22286455579800413
20,0.953638,0.15286713512446815,0.9675106406211853,0.10575901253565044
21,0.9670493,0.1078542927715412,0.970442533493042,0.10287909160501287
22,0.9701047,0.0983197768649876,0.9679012894630432,0.11544551863235335
23,0.96996444,0.09934263319041567,0.9725618958473206,0.0910625855717612
24,0.97057647,0.09621237470251075,0.9740071296691895,0.08953634633827441
